Country,CO2,Country.1,PM,Public Transport,Landfill,Recycle,Water Reuse,Water Stress,Accommodation,Temp_x,Energy Use,Temp_y
Equatorial Guinea,238.41881,5.5446234,25.66867,,0.162459832,,30.65,,942.58596,,2556.0715,
Eritrea,70.392586,0,22.74486,,0.162459829,,109.1,3.94,252.24009,26.49,0,26.49
Estonia,1829.5037,37.034485,6.35007,96.86667,0.369000007,24.74,1022,1.22,5295.93147,6.9,66.66208,6.9
Eswatini,705.54205,16.407953,15.07308,,0.162459828,,963,0.31,303.547136,20.92,114.85568,20.92
Ethiopia,58.061504,0.9570577,21.80471,31.785715,0.065410921,,78.96,0.96,260.1602,23.45,0.07975481,23.45
Europe,1622.5803,31.350464,,,,,,,3691.2833,,748.6026,
European Union (27),1736.8662,34.222977,,,,,,,3002.0254,,90.04406,
Fiji,587.3217,,7.36073,24.466667,0.218420773,5.45,100.2,,380.671445,24.98,0,24.98
Finland,1738.1,46.6845,5.46669,94.2375,0.566000005,28.12,447.6,0.81,3079.3817,3.24,1.7955577,3.24
France,1860.9658,37.41848,10.45709,95.29852,0.548000021,22.26,538.8,1.92,1645.2061,13.16,18.55836,13.16
Gabon,78.16518,0,26.28642,,0.219219408,,93.33,,1262.9847,25.46,3566.8003,25.46
Gambia,30.34358,,39.10354,,,,69.19,0.02,163.09674,28.46,0,28.46
Georgia,1159.4869,18.446383,19.06419,,0.215221544,,,0.93,1256.98923,9.92,685.1513,9.92
Germany,1676.3745,34.488407,10.73096,93.27524,0.60900001,47.83,479.2,2.04,4524.4032,10.83,33.0613,10.83
Ghana,299.2535,5.73167,46.04334,52.5,0.164250008,,49.63,0.11,286.88517,27.73,109.80673,27.73
Greece,1692.2001,29.771963,14.62251,90.38333,0.523999979,19,840.9,4.34,2709.24874,14.88,45.138138,14.88
Grenada,855.2272,,10.08384,,0.280013594,,,,1710.45425,26.33,0,26.33
Guatemala,561.4113,10.085234,20.74787,45.266666,0.169620244,,,1.03,656.10047,23.77,0,23.77
Guinea,179.29388,,37.57394,,0.073397748,5,60.71,0.36,28.459348,25.95,0,25.95
Guinea-Bissau,52.243256,,34.84998,43.300003,0.163518638,,127.6,0.31,47.493867,,0,
Guyana,1302.2767,24.34162,11.10584,,0.24010456,0.54,2207,2.7,1448.32624,26.16,2056.867,26.16
Haiti,119.093124,1.7385857,9.69133,17.566668,0.21294195,,,1.6,259.049286,25.01,0,25.01
High-income countries,2652.4766,55.087807,,,,,,,5101.0968,,929.44366,
Honduras,439.60748,7.6453476,18.93138,21.34,0.23725,,,0.11,505.54862,24.71,0,24.71
